job_title_salary_rank,company_size,experience_level_encoded,employment_type_encoded,work_year,salary_in_usd,job_title,company_location,experience_level,employment_type,remote_ratio
8,3,2,1,2025,60000,Customer Success Manager,NL,MI,FT,50
7,2,3,1,2025,165000,Engineer,US,SE,FT,0
7,2,3,1,2025,109000,Engineer,US,SE,FT,0
8,2,3,1,2025,294000,Applied Scientist,US,SE,FT,0
8,2,3,1,2025,137600,Applied Scientist,US,SE,FT,0
10,2,1,1,2025,82000,Data Analyst,US,EN,FT,0
10,2,1,1,2025,44000,Data Analyst,US,EN,FT,0
3,3,3,1,2025,149800,Software Development Engineer,US,SE,FT,0
3,3,3,1,2025,89700,Software Development Engineer,US,SE,FT,0
5,2,3,1,2025,200000,Research Scientist,US,SE,FT,0
5,2,3,1,2025,185000,Research Scientist,US,SE,FT,0
6,2,3,1,2025,160000,Data Scientist,US,SE,FT,0
6,2,3,1,2025,130000,Data Scientist,US,SE,FT,0
8,2,3,1,2025,231000,Platform Engineer,US,SE,FT,100
8,2,3,1,2025,172000,Platform Engineer,US,SE,FT,100
8,2,3,1,2025,126000,Computational Biologist,US,SE,FT,0
8,2,3,1,2025,119000,Computational Biologist,US,SE,FT,0
6,1,2,1,2025,200000,AI Data Scientist,US,MI,FT,100
8,1,2,1,2025,300000,Admin & Data Analyst,US,MI,FT,100
6,2,2,1,2025,140000,Data Scientist,US,MI,FT,100
6,2,2,1,2025,120000,Data Scientist,US,MI,FT,100
8,2,2,1,2025,175300,Cloud Engineer,US,MI,FT,0
8,2,2,1,2025,129500,Cloud Engineer,US,MI,FT,0
8,2,3,1,2025,115500,Data Management Specialist,US,SE,FT,0
8,2,3,1,2025,87000,Data Management Specialist,US,SE,FT,0
8,2,3,1,2025,170000,Data Product Owner,US,SE,FT,0
8,2,3,1,2025,110000,Data Product Owner,US,SE,FT,0
5,2,1,1,2025,266000,Research Scientist,US,EN,FT,0
5,2,1,1,2025,177688,Research Scientist,US,EN,FT,0
5,2,1,1,2025,187040,Research Scientist,US,EN,FT,0
5,2,2,1,2025,251000,Research Scientist,US,MI,FT,0
5,2,2,1,2025,177000,Research Scientist,US,MI,FT,0
3,2,3,1,2025,200000,Software Engineer,US,SE,FT,0
3,2,3,1,2025,136000,Software Engineer,US,SE,FT,0
1,2,2,1,2025,264200,Machine Learning Engineer,US,MI,FT,0
1,2,2,1,2025,143100,Machine Learning Engineer,US,MI,FT,0
1,2,3,1,2025,185000,Machine Learning Engineer,US,SE,FT,0
1,2,3,1,2025,165000,Machine Learning Engineer,US,SE,FT,0
3,2,2,1,2025,101265,Software Engineer,GB,MI,FT,0
3,2,2,1,2025,75949,Software Engineer,GB,MI,FT,0
1,2,2,1,2025,251666,Machine Learning Engineer,US,MI,FT,0
1,2,2,1,2025,176166,Machine Learning Engineer,US,MI,FT,0
3,2,3,1,2025,239000,Software Engineer,US,SE,FT,0
3,2,3,1,2025,161000,Software Engineer,US,SE,FT,0
7,2,3,1,2025,223400,Engineer,US,SE,FT,0
7,2,3,1,2025,96800,Engineer,US,SE,FT,0
7,2,3,1,2025,328300,Engineer,US,SE,FT,0
7,2,3,1,2025,192700,Engineer,US,SE,FT,0
5,2,2,1,2025,42000,Associate,US,MI,FT,0
7,2,2,1,2025,175400,Data Engineer,US,MI,FT,0
7,2,2,1,2025,106300,Data Engineer,US,MI,FT,0
7,2,2,1,2025,150700,Engineer,US,MI,FT,0
7,2,2,1,2025,98800,Engineer,US,MI,FT,0
4,2,2,1,2025,238000,Product Manager,US,MI,FT,0
4,2,2,1,2025,171000,Product Manager,US,MI,FT,0
5,2,3,1,2025,293000,Research Scientist,US,SE,FT,0
5,2,3,1,2025,213000,Research Scientist,US,SE,FT,0
8,2,2,1,2025,100000,Data Operations Engineer,US,MI,FT,0
8,2,2,1,2025,80000,Data Operations Engineer,US,MI,FT,0
9,2,2,1,2025,221000,Business Intelligence Engineer,US,MI,FT,0
9,2,2,1,2025,176000,Business Intelligence Engineer,US,MI,FT,0
7,2,2,1,2025,59115,Data Engineer,LT,MI,FT,0
7,2,2,1,2025,39410,Data Engineer,LT,MI,FT,0
5,2,2,1,2025,173000,Research Engineer,US,MI,FT,0
5,2,2,1,2025,117000,Research Engineer,US,MI,FT,0
8,2,3,1,2025,107000,Analytics Engineer,CA,SE,FT,0
8,2,3,1,2025,87000,Analytics Engineer,CA,SE,FT,0
7,2,3,1,2025,281000,Data Engineer,US,SE,FT,0
7,2,3,1,2025,206000,Data Engineer,US,SE,FT,0
